id,Titlecleaned,Poem_line_cleaned,Extended_Summary,Prompt,Status,names,url,taskId
253,الطرشه خليه,"مرت ايام القنص حلوه عذيه      في اناسه بين مصباح و رواح
بس فيها نقص يوم امست خليه      من ابو راشد خلت م الانشراح
ليت يا حمدان عن دار قصيه      كنت في الطرشه وساعات المزاح
صيدنا وافر بايام هنيه      والمعاشي والمزاقر والصياح
حلو جو الصيد من صبحه لعشيه      وعندك و دونك ليالينا ملاح
والخوي دايم تري يدور خويه      عاده اهل المعرفه واهل الفلاح
وفوق هذا ف العيون البابليه      صادت الصياد ما فاد السلاح
لو حضرت ان كان بتحل القضيه      وكان ما بيفوز لي لابس وشاح","تندمج في هذه الأبيات نفحات الحنين إلى أيام الصيد التي كانت زاخرة بالمرح والألفة بين الأحبة، خاصة بين ""فزاع"" وأصحاب الطرشة، حيث يعيد الشاعر رسم مشاهد اللقاء والغربة بين مصباح ورواح. يعبّر النص عن فقدان تلك اللحظات الجميلة بعد رحيل ""أبو راشد""، معانقاً مشاعر الافتقاد والغياب الذي خلت به النفوس من البهجة. تحمل القصيدة إشادة بالقيم الأصيلة للرفقة والمعرفة، حيث الصديق لا يغيب والعين الساهرة تبقى شاهدة على كل مغامرة، رغم المخاطر والصيد الذي قد يوقع حتى الصياد نفسه. يختتم الشاعر بتمني حضور ""حمدان"" في قصية الطرشة، ليعود المزاح والفرح ويسود الوئام، مبرزاً أن الرفاق والأوقات الحلوة أساس حياة الفلاح وأهل الكرم.","Cinematic medium-wide shot of Sheikh Mohamed bin Rashid (Bo Rashid) and Sheikh Hamdan bin Mohammed (Fazaa) standing together in a dignified, contemplative pose on a muted cyan-tinted desert terrace at twilight, both gazing thoughtfully toward the horizon with expressions of nostalgic pride and subtle melancholy, wearing pristine white kanduras and black bishts with intricate gold embroidery, distant silhouettes of Arabian horses and falcons resting near traditional dhow boats, subtle incense smoke wisps curling upward and cracked earth textures hinting at the passage of time, volumetric golden-hour rim lighting with cool blue-grey tones and warm amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative and emotionally resonant atmosphere reflecting themes of heritage, loss, and unity, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,"راشد,حمدان",https://d2p7pge43lyniu.cloudfront.net/output/9bac5a39-d465-4277-899a-428c7526b65d.jpeg,811cb7c87f5145f8ba1c4f5f36526e7e
254,تامر عليه,"مرحبا باللي علي مرسل هديه      والوفا من بيني و بينه متاح
سيدي شاعر ونفسه شاعريه      والمولع بالقوافي ما استراح
ولد راشد له عزوم زايديه      برق عزه في غيوم الطيب لاح
كل ماهد الصقور الصيرميه      كن له معها مخاليب وجناح
القنص لو كانت ايامه شقيه      لذته ف النفس تجلب الارتياح
وانت يارمز الفخر تامر عليه      وان حصل مني خطا منك السماح
والغزال اللي لعينه جاذبيه      نظرته فيها من السحر المباح
عادتك صيده بليا بندقيه      لو ف عينه مثلما ضرب الرماح","تغزل قصيدة ""تامر عليه"" بروح الوفاء والاعتذار بين شاعر ملهَم ومرسل هديةٍ مفعمة بالتقدير، حيث يرسم صورة ""فزاع"" كشاعر عشق القوافي، مولودٌ في حضن العزومة الزيدية، يتلألأ في سماء المكارم كبرق العز. تتجسد فيه معاني الفخر عبر رمزية الصقور والمهاد، التي تمثل القوة والأناقة، ويبرز هواية القنص كتعبير عن متعة الذات والطمأنينة رغم شدتها. يتوجه الشاعر إلى من يرمز للفخر ليقبل عذره إن أخطأ، وقد قُدّمت صورة الغزال الساحر بنظرة مسحورة، تحاكي براعة الصيد بلا بندقية، كناية عن القدرة على الوصول إلى القلب بأدوات خفية لكنها أشد تأثيراً. تمزج الأبيات بين الرقة والقوة، بين الشعر والهدى، في لوحةٍ نابضة بحيوية الصحراء وبسحر الموروث الإماراتي.","Cinematic medium-wide shot of Sheikh Mohamed bin Zayed (Bo Zayed) standing alone in a contemplative pose on a muted cyan-tinted desert terrace at twilight, holding a traditional falcon with one hand while gently tracing the sand with the other as if reading poetry, face etched with serene pride and deep affection for the art of verse, wearing pristine white kandura and black bisht with intricate gold embroidery, distant silhouette of a majestic falcon perched on a dune and subtle wisps of incense smoke curling upward, volumetric golden-hour rim lighting with cool blue-grey tones and warm amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative and poetic atmosphere celebrating heritage and literary grace, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,راشد,https://d1q70pf5vjeyhc.cloudfront.net/predictions/64070bb9d596432d86b4b6047866a4a3/1.jpg,c9cb6300c69444d3a6855987a17e042b
255,زبون الصبر,"من كثره الشعار والمستشعرون      تغطرست الاوراق واغتر الحبر
ما اجهل اللي يحسب ان جر اللحون      يبيض الوجه او يطول ف الشبر
الشاعر الحساس شعره ذو شجون      يصفي معاه الجو لو انه غبر
بعيد ياشعار عن سوء الظنون      ماقلتها من غطرسه ولا كبر
قد تعتبر وجهه نظر يا مبدعون      وربما... وربما لاتعتبر
و يلا ذكرت اللي علي قلبي يمون      عبر جسور الود والحب اعبر
الشوق من وصلك يابو طرف فتون      يكبر مع راعيه لامنه كبر
تري مريض السكري جرحه يهون      شوفك يكفي عن علاجه بالابر
لو الاطباء عن علاجك يعرفون      كان صنعوا منك دوا ف المختبر
صابر علي حبك رغم كثر الطعون      والمشكله حسب الكلام المعتبر
لو كانت القصه صبر.. انا زبون      الصبر والايام للعاقل عبر
القصه الوافي يموت و لايخون      وان الصبر نفسه يبي منا صبر","في هذه القصيدة ينسج ""فزاع"" لوحات من الصبر والوفاء في رحلة المحب العاشق الذي يكابد الألم والجروح بصبر يتجاوز حدود التحمل. يتناول الشاعر بسخرية مواقف المتكبرين الذين يظنون أن اللوم يرفّع من قدرهم، بينما يبرز هو حسه الشعري العميق الذي ينقي الجو حتى في غيابه. عبر لغة رقيقة، يعبر عن شوق لا ينضب لحبيب محبوبه ""أبو طرف""، مشبّها جراحه بمرض السكري الذي يهون أمام ألم الفراق، موضحاً أن الحب الحقيقي دواء لا يصنعه مختبر. تتجلّى في النص قيمة الصبر كرفيق دائم وعبرة للعاقل، مؤكدًا أن الصبر يتطلب صبرًا آخر، وأن القصة الحقيقية لا تخون ولا تموت، بل تبقى نبراسًا يتناقل عبر الأيام.","Cinematic medium shot of Fazaa (Hamdan bin Mohammed) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified longing and poetic resilience, standing on muted cyan-tinted desert dunes at twilight, scattered wilting desert roses and cracked earth symbolizing deep pain and endurance, distant silhouette of Abu Tarf against desaturated teal sky, subtle incense smoke wisps rising from a traditional dallah, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere celebrating patience as a virtue, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
256,سمي العود,"الشعر بابه مقفل وان فتحنا بابه      الجبل ننحته والغصن الرطيب نهزه
والمثل يا ضاربينه زان لي مضرابه      ما كذب رجل يقول لكل شي حزه
المكارم في بلدنا والعزيز ترابه      وبشيوخه كل شعبه تفخر ومعتزه
قدم الفنجان يا صبابه لشرابه      واقهر العدوان والراس الخبيث نجزه
للكريم اللي يحسبون الرجال حسابه      وللعزيز اللي علي علوم الردي متنزه
وللشجاع اللي فتل للكايدات اشنابه      شل بيرق ( زايد ) بيمناه حتي رزه
فارس جده صواديف الزمان تهابه      يسبق حصانه خيول القوم لا من لزه
صوب ابن حمدان زايد تاشر السبابه      والعزيز الله بوقفات الشموخ يعزه
مسكنه في قلوبنا مهما يطول غيابه      غاب بالعزه ولا جانا سوي بالعزه
فز فزه سبع في وجه العدو واحزابه      يا سمي العود يا طيبك و حي الفزه","تتجلى في هذه القصيدة صورة مهيبة لوطن يتجذر في مكارمه وعزته، حيث الشعر باب مغلق يتسيد فيه الفخر والكرامة، ويُنسج من جبروت الجبال ورقة الأغصان. يرسّخ الشاعر ارتباط ""فزاع"" ومكانته بين رجالات الكرام والشجعان، متوشحاً برمز ""زايد"" وبيرقه المرفوع بيد ""ابن حمدان""، حاملًا راية العزة والشموخ التي تسكن القلوب مهما طال الغياب. تستعرض الأبيات بطولات الأجداد وتضحياتهم في مقاومة العدوان، مؤكدًا أن الكرم والشجاعة والإباء هي الراية التي ترفعها هذه الأرض، معبرًا عن صدق الانتماء للتراب وللقيم التي تحفظ للوطن هيبته ومكانته.","Cinematic medium-wide shot of Sheikh Mohamed bin Zayed (Bo Zayed) and Sheikh Hamdan bin Mohammed (Fazaa) standing side-by-side in a dignified unity pose on a muted cyan-tinted desert terrace at twilight, both raising a traditional UAE flag in a slow tribute gesture while holding a golden Dallah coffee pot as if pouring for guests, faces etched with solemn pride and visionary resolve, wearing pristine white kanduras and black bishts with intricate gold embroidery, distant falcon silhouettes and subtle incense smoke wisps curling upward, volumetric golden-hour rim lighting with cool blue-grey tones and warm amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative and majestic atmosphere, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,"زايد,حمدان",https://d2p7pge43lyniu.cloudfront.net/output/a2a04a98-51c8-4e0b-925b-e7328b8f818e.jpeg,3534019c0e7b456a84d4a69f285f936d
257,مده وافيه,"اشتقت يا وقتي الفاني لفتره صباي      سامت منك ومن ايامك الجافيه
ذكرت صبحي بطيشه وانبساطه مساي      واخ جروحي من فراقه ماهي شافيه
جفاني الضحك بفراقه وطول جفاي      عن وصل ناس مشاعرها معي دافيه
القلب يغرق جروحي ما يبين خفاي      لكنها في ملامح نظرتي طافيه
اقول لا .. لاحد منكم يدور رجاي      اجبرني الوقت اردد لاءي النافيه
يوم البحر كنت احسبه يوم اطالعه ماي      قبل اسبحه واكتشف اسراره الخافيه
ويوم ان اصابع كفوفي اكثر من اصدقاي      قليل لكن عيوني بالرضا غافيه
لله معطي ولا تحسب يميني عطاي      وافي ولا اقدم الا مده وافيه
انظر لقدام ما اطالع بعيني وراي      اودع المقفيه واستقبل اللافيه
وابني بيوت الشعر واسس قواعد بناي      ماني بمن يبتلش في الوزن والقافيه
واشب ناري وغيري يقتبس من سناي      وامد بالنور ناس نارهم طافيه
واخدم بنفسي قبل لايخدمون اخوياي      وانا لو اشر تكون اشارتي كافيه
ثنتين يقدر بها الانسان يكسب رضاي      البسمه الصادقه والنيه الصافيه
وثنتين دايم تسبب في حياتي شقاي      دمع الفقاري وشكل اقدامه الحافيه
يالله عساني ما اجرب عند ربعي غلاي      واسالك الستر والتوفيق والعافيه",قصيدة تعبيرية تنبض بصدق الشوق والحنين لأيام الشباب وحلاوتها رغم قسوة الفراق وجفاف المشاعر المحيطة. تبرز صلابة القلب وصموده أمام الجراح، معتمداً على الرضا بالنفس والنية الصافية كسلاح للتغلب على المصاعب. يجسد الشاعر رحلته الداخلية بين خفايا البحر وأسراره، معلناً عزمه على المضي قدماً ببناء الشعر وترسيخ قواعده، حاملاً نور الإبداع ليضيء دروب الآخرين. تلتقي في نصه معاني الوفاء والعطاء والحكمة، مع دعاء يتوسل فيه الحفاظ على الستر والتوفيق، كرمز لتوازن الحياة بين الفرح والألم وصدق المشاعر.,"Cinematic medium shot of a distinguished Emirati man in pristine white kandura and black bisht with subtle gold embroidery, his face etched with dignified longing and resilient hope, standing on muted cyan-tinted desert dunes at twilight overlooking a calm sea horizon, scattered wilting desert roses and cracked earth symbolizing heartbreak and endurance, distant falcon silhouette against desaturated teal sky, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere blending patriotism and poetic devotion, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
258,وقفه عرفه,"يالشاعر بذكر الله تزين الابيات      والصدق فيما نزل الله في الايات
وانا بذكر الله و في طاعه الله      سخرت هاجوسي لجل سبك الابيات
كتبت في الطير وهداده وفعله      ومسابقات الريح والعسوجيات
واسهبت في وصف الذلول الاصيله      اللي تحطم تيمها عشر مرات
ومدحت ناس تستحق المدايح      واليوم مدحي غير عن كل ما فات
مدحي لمن تقدس اسمه تعالي      ليس كمثله شي في الماض والات
الامر له من قبل جل جلاله      والامر له من بعد ما يبغي اثبات
فمن يشاء انه يذله .. يذله      ومن يعزه ما يعرف المذلات
يا مجري السحب ومغيث الفيافي      الملك لك والعز في كل الاوقات
يا ذو الجلال الاوحد اللي بذكرك      تدعو جميع الانبياء والرسالات
من هيبتك في قلوب من يعشقونك      المءمنين اهل القلوب التقيات
تسبح بذكرك علي منكب ارضك      وتعظمك لا ناظرت في السماوات
ياللي لجل وجهك نصوم ونصلي      ولولاك ما صمنا ولا به صلوات
يا من اذا جات المضره دعينا      بسمك ولا غيرك يزيل المضرات
والحمد لك عند المسره وشكرك      واجب علي من ينتعم بالمسرات
نرجوك تغفر كل ذنب جنينا      وندعوك ترحمنا بوقفه عرفات
يا ايها الانسان كثر الملذه      تاثر علي الطاعه ، فخف الملذات
واسجد لوجه الله تضرع وخشيه      حتي يزيدك في نعيمه درجات
برعايته يحيطك الله حيا      ويرحمك لامن صرت مابين الاموات",تتجلّى في هذه الأبيات روعة الذكر الإلهي وعظمة طاعة الله التي تجمع بين صدق القلوب وجمال الكلمات، حيث يسير الشاعر بين ذكر الطير والريح والذلول الأصيلة، مديحاً إياها ومديحاً لا يشبه ما سبق لله العظيم. ينحو النص نحو التسبيح والتعظيم لله الواحد الأحد، مستحضراً مكانته العليا التي لا يضاهيها مخلوق، ومظهرًا كيف أن العباد المخلصين يجدون في ذكراه قوة وسلامًا. كما يدعو الشاعر الإنسان لتخفيف ملذات الدنيا، والاقتراب بخشوع وتضرع إلى الله، طالباً المغفرة والرحمة في وقفة عرفات، ليعمّ النعيم ويحيط الحافظ برعايته الحي، وسط مشاعر من الخشية والعرفان التي تفيض بها النفوس.,"Cinematic medium shot of a male Emirati pilgrim in pristine white ihram and bisht, his face etched with profound humility and spiritual awe during the Arafat standing, surrounded by muted cyan-tinted desert sands under twilight skies, scattered wilting desert roses and wisps of incense smoke symbolizing devotion and memory, distant silhouette of a falcon against desaturated teal horizon, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere of divine connection and repentance, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
259,الكبر لله,"يا سيد المال كم نفس معك خانت      والخوف ماهو من الماضي من القادم
والناس لولا تواضع نفسها شانت      مع مراعاه ذا سيد ، و ذا خادم
من قصه ابليس خذ حكمتك لا بانت      كان التغطرس في ذاته عامل هادم
لو كان رفضه لامر الله فقط ، هانت      الله يغفر ذنوب التايب النادم
مشكلته اللي يعاني منها كانت      الكبر .. والكبر لله يا بني ادم",تتجلى في هذه القصيدة حكمة سامية تطالب بالتواضع وتنبذ الكبر الذي استشرفه الشاعر في شخصية أبليس، الذي كان سبب سقوطه هو تعنّته واستعلاؤه على أمر الله. يذكر الشاعر أن الخيانة والخوف لا تزال تحدق بالإنسان، وأن تواضع النفس هو من حفظ المكانة بين الناس، سواء كانوا سادة أو خدمًا. المعاناة الحقيقية تكمن في الكبرياء المتغطرس الذي لا يعترف بحدود ذاته، أما الذي يتوخى التوبة فلا بد من رحمته ومغفرته. القصيدة تحث على التفكر في الدروس المستمدة من قصص الماضي مع تحذير من عواقب الكبر على الإنسان.,"Cinematic medium shot of Sheikh Mohamed bin Zayed (Bo Zayed) in pristine white kandura and black bisht with gold embroidery, his face etched with profound wisdom and humble contemplation regarding the dangers of arrogance, standing on muted cyan-tinted desert dunes at twilight, scattered wilting desert roses and cracked earth symbolizing the pain of pride, distant falcon silhouette against desaturated teal sky, subtle incense smoke wisps rising from a traditional dallah, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, reflective spiritual atmosphere, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
260,الورده ارتاحت,"اذا طاحت الورده من يدينك اتركها      لانها اذا طاحت من يدينك ارتاحت
واذا طاحت الدمعه من عيونك امسكها      اخاف المقام يطيح معها اذا طاحت
ولا تقتفي لك فرصه ما انت مدركها      تصبر ، تري فرصتك للحين ما تاحت
واذا مرتك فرصه ، وتقدر تملكها      اخذها عوض في فرصه قبلها راحت
غيوم السما وسط السما بيد سامكها      ماهو شرط تمطر لك لو بروقها لاحت
ونفوس الرجال النخوه اللي تحركها      لو صدورها باسرارها ما بعد باحت
الم تعلم ان جدودنا في معاركها      تضحي بالانفس للعفيفه ليا صاحت",تتناغم في هذه الأبيات دعوة الحكمة والصبر، مستلهمة من صور الطبيعة ونبل الأجداد، حيث يشبه الشاعر الوردة التي تسقط من يد المحبوب بالراحة التي تستحقها، بينما يوصي بالتمسك بالدموع خوفاً من فقدان الاستقرار الداخلي. يقترح الشاعر عدم استعجال الفرص التي لم تنضج بعد، مع استثمار كل فرصة تمر قبل فواتها، مستحضراً حكمة السماء التي لا تضمن هطول المطر رغم ظهور البرق، كناية عن الصبر والثبات. ويختم بتذكير بفخامة نفوس الرجال الذين تحفظ أسرارهم وتضحيات أجدادنا في ساحات العزة، مما يعكس عراقة القيم العربية الأصيلة التي تحرك الضمائر وتؤطر النشوء على الكرامة والتفاني.,"Cinematic medium shot of a distinguished Emirati elder in pristine white kandura and black bisht with subtle gold embroidery, his face etched with serene wisdom and contemplative patience, standing amidst muted cyan-tinted desert dunes at twilight, scattered wilting desert roses symbolizing the comfort of letting go, cracked earth beneath feet representing internal stability, distant falcon silhouette against desaturated teal sky, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, dignified emotional atmosphere reflecting ancestral honor and Arab values, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
261,قمه الالتحام,"يا اصحابي اللي لكم عندي مكان ومقام      صاحبكم اللي عليكم طولت غيبته
شعوره اللي ف قلبه اصدق من الكلام      اللي ما تصعب علي فكرته تركيبته
بين السياسه واهلها والغلا و الهيام      والاشقر اللي يموت الخرب من هيبته
راحت سنين تتابع عام يتبعه عام      تغرب ورد داره بعد تغريبته
لو تغير ملامح وجهه الابتسام      ما زال يرسم علي وجهه مدي طيبته
يدور السلم لانه من دعاه السلام      والمستريب يعرف وش هو سبب ريبته
لو المصايب كبر ضلع الجبل مايضام      دون الوطن في عيونه تصغر مصيبته
وعيوننا دون حد بلادنا ما تنام      الموت حنا لعين الدار طليبته
وان كان للحرب فنجان فقل للكرام      عيال زايد نهار الحرب شريبته
الشايب يوصي غلامه كذا و الغلام      بالنصر والا الممات معاهد شيبته
الدار شعب وشيوخ ف قمه الالتحام      يسعون للمجد والخايب علي خيبته","في هذه القصيدة، تتجلى أسمى معاني الولاء والوفاء بين الشاعر وأصحابه، حيث يعبر عن غيابه الطويل وصدق شعوره الذي لا تخونه الكلمات. يستعرض الصراع بين السياسة وغلا الوجدان، مع إشادات بالقيادة والرموز الوطنية، خصوصاً ""عيال زايد"" الذين أرسوا قيم الشجاعة والنصر مهما عظمت المحن. يبرز الشاعر تمسكه بالوطن كقلب نابض لا تهزه المصاعب، مؤكدًا أن السلام مقصد يسعى إليه رغم الريبة، وأن الموت دفاع لا مفر منه عن الدار. تترسخ في الأبيات صورة تلاحم الشعب والشيوخ في قمة الوحدة، مجتمعين على درب المجد والمروءة، متجاوزين كل خيبة، رافعين راية الإمارات في أعالي التضحية والشرف.","Cinematic medium-wide shot of Sheikh Mohamed bin Zayed (Bo Zayed), Sheikh Mohamed bin Rashid (Bo Rashid), and Sheikh Khalifa bin Zayed (Bo Khalifa) standing together in a unified council formation atop a traditional heritage courtyard at twilight, all pouring Arabic coffee from golden dallahs into shared cups as a symbol of unity and resilience against the backdrop of a modern skyline with distant Burj Khalifa silhouettes, faces etched with solemn pride, deep contemplation, and unwavering resolve, wearing pristine white kanduras and black bishts with intricate gold embroidery, subtle warm amber highlights contrasting with muted cyan and desaturated teal tones, volumetric golden-hour rim lighting with cool blue-grey palette, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, incense smoke wisps curling upward and a single wilting desert rose resting on the table, contemplative and majestic atmosphere, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,زايد,https://d2p7pge43lyniu.cloudfront.net/output/ee639632-2573-4049-b181-372d0cc62180.jpeg,e1de77cdd69c44b4af95ec2646494317
262,هداد,"هداد مالك فرق عن صالي النار      والنار فيها منك و فيك منها
انت اللهب منك علي الخرب لاطار      مثل لهبها والحطب في بطنها
صيدتك ما يحتاج قبر وقبار      ومن ريشها نقدر نسوي كفنها
فيك الوصايف خلت العقل يحتار      مناكبك والعنق والعين كنها
عين السبع لاحده الجوع ثم غار      علي الفريسه وان بغاها ضمنها
واللون فيه من البرد يوم ينهار      من غيمه بطن السما يحتضنها
والصدر كنه خامه احرام زوار      ال مكه اللي من تضايق زبنها
ياطيرنا لو صار فالوقت ماصار      دامك وفي خوتك ما اصد عنها
اما اذا ياطيرنا صرت بوار      ونسيت عشره مانساها زمنها
بقول ماقال الزلامي فالاشعار      ابيعها وابيع حتي ثمنها","يحاكي الشاعر في هذه الملحمة النبض الحيّ للدفاع والصبر عبر استعارات النار واللدغة التي تعكس قوة ""هداد"" وصلابته في ميدان الوغى، حيث اللهب ليس مجرد عنصر بل روح متجددة تشتعل في مواقعه. تتجلى في الوصف قوة العين الحادة والهيبة التي تسمح له بحماية الفريسة، وعنفوان الصدر المملوء بالإيمان والمحبة لتقاليد الكرامة والأخوة التي لا تتزعزع رغم التحديات. يبرز الشاعر عنصر الوفاء والذرّة التي تظل محفورة في ذاكرة الزمن، مبرزاً أن الخيانة ليست من شيم الأوفياء، فتظل العشرة والقرابة راسخة كالعهد الذي لا ينكسر. تُختتم الأبيات بتأكيد على أن التضحية والإيثار هما السمة الأسمى لدى ""هداد""، الذي لا يقدر بثمن، متحدياً كل من يحاول أن يقلل من قيمته أو ينسى أصالته.","Cinematic medium shot of a noble Emirati warrior named Hidad in pristine white kandura and black bisht with gold embroidery, his face etched with fierce determination and protective pride, standing amidst muted cyan-tinted desert dunes at twilight, crackling fire spirits rising from the ground symbolizing rebirth and strength, scattered wilting desert roses representing pain and resilience, distant silhouette of a falcon against desaturated teal sky, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative yet powerful emotional atmosphere, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
263,شنذاره,"السيف ابو شذره اللي يرهب الغازي      يعجبك في كف من يعطيه مقداره
هذا ما هو لغز .. ياعشاق الالغازي      هذا مثل تضربه للناس (شنذاره)
ياسيف ريس بلادي اهدي انجازي      ال (زايد) اللي بفخره تفتخر داره","في هذه الأبيات، يصوّر الشاعر السيف ""شنذاره"" كرمز للقوة والصمود، السلاح الذي يُرهب الأعداء ويُعجب به كل من يعرف قيمته. السيف ليس مجرد أداة، بل مثل ينبع من عزة وكرامة، يحمل في طيّاته إرث الأجداد وإنجازات الوطن. يُهدي الشاعر هذه التحية بفخر إلى ""زايد""، مؤسس الدولة وفخر الدار، الذي بفضل حكمته وعزيمته صار رمز الفخر والاعتزاز الوطني. تتجلى في النص مفردات الفخر والولاء، حيث يُجسد السيف معنى العزة والهيبة في يد القائد الحكيم، حاملاً رسالة وطنية خالدة باتخاذ القوة والشرف شعاراً للمجد.","Cinematic medium shot of Sheikh Zayed bin Sultan Al Nahyan (Zayed Al Khair) standing in a dignified, contemplative pose holding a traditional khanjar sheathed at his waist while gazing toward a distant horizon where a falcon soars, wearing pristine white kandura and black bisht with intricate gold Sadu embroidery, face etched with solemn pride and visionary resolve as if reciting the poem's praise of the sword and heritage, set against a muted cyan-tinted desert terrace at twilight with subtle warm amber highlights, distant silhouette of traditional architecture and faint wisps of incense smoke curling upward, volumetric golden-hour rim lighting with cool blue-grey tones, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative and majestic atmosphere celebrating UAE leadership and national pride, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,زايد,https://d2p7pge43lyniu.cloudfront.net/output/78e15518-0854-447b-9cab-725511073bc8.jpeg,c4b1ebd031e04eb2bfd2914c296743dd
264,قنيب الذيب,"ياذيب ياللي علي راس الجبل لك قنيب      الناس بعواك دايم تلفت انظارها
كانك تنادي العالم ولا لك مجيب      بين السما والجبال الصلفه حجارها
لو كان من جوع قلت الصيد منك قريب      حول علي الصيده بيمناك واختارها
وان كان تشكي من الغربه في عصر غريب      مثلك شكت ناس غربتها وفي دارها
وان كان علي العوا هيضك وقت المغيب      اللي يجر النفوس ويفضح اسرارها
اكيد قلبك محب ، وفاقد لك حبيب      خذاك من جنه اللهفه الي نارها
فزاع ترجم احاسيسك بحس الاديب      اللي قريحته ماهي تنضب افكارها
خل الليالي تجيب من الشقا ما تجيب      ولا توقع تقدم صادق اعذارها
الامر عادي تري لا تحسب انه مريب      اصبر وزيد العناد ان زادت اصرارها
كم يصبر الجذع في حر المقيظ الكءيب      حتي تصب السحابه فوقه امطارها
ويروي ويخضر لين تشوف غصنه رطيب      و دوره فصول السنه ما اتعبه مشوارها
اما عن الحب ، فامر الحب امر عجيب      واهل المحبه تعرف العالم اخبارها
لا للجروح ادويه حسب كلام الطبيب      لكن حجم العلاج بحجم مقدارها
الا جروح الصحيب الموجعه من صحيب      علاجها عند من هو سبب اثارها
ياذيب روس الصغار من الليالي تشيب      وما شيب صغارها ، بيشيب كبارها
اقرب علي الضلع واطرب مسمعي بالقنيب      خل البشر تسمعك وتشوف بانظارها",يحتفي الشاعر بقوة الحبيب وجلاله كقنيب الذيب على قمم الجبال، رمز الصمود والعزة التي تأسر الأنظار. يعبر عن وجدان الإنسان المتألم من الغربة والحنين، متشابهاً مع معاناة الذئب في مواجهة قساوة الطبيعة وصمت العالم. يصور الصبر كشجرة تصمد في الحر اللافح حتى ترويها السحب وتزهر، وقدراً لا مناص منه في دروب الحياة والحب، الذي رغم جراحه لا يُشفى إلا بعهده مع من سبّب الألم. تنبع القصيدة من روح نبض الصحراء، حيث تُمجّد الأحاسيس العميقة، وتَحكي عن وفاء القلب وتحدي الشدائد، عبر لغة نابضة بالأصالة والقوة.,"Cinematic medium-wide shot of Fazaa (representing the poet) and a distinguished Emirati elder (Sheikh Bo Zayed or Bo Khalifa, depending on context, standing as a figure of wisdom) seated together in a traditional Majlis with low coffee tables, engaged in a deep, contemplative conversation where Fazaa gestures expressively while reciting poetry and the elder listens with a hand placed respectfully on his chest, both wearing pristine white kanduras and black bishts with intricate gold embroidery, faces etched with solemn pride and emotional resonance, setting is a dimly lit heritage courtyard with Sadu patterned rugs and distant silhouettes of traditional architecture under a twilight sky, subtle symbolic elements include wisps of incense smoke curling upward, a wilting desert rose on the table, and a falcon feather resting near a khanjar, volumetric golden-hour rim lighting with cool blue-grey tones and warm amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative and emotionally resonant atmosphere, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,فزاع,https://d2p7pge43lyniu.cloudfront.net/output/0987b652-9fc3-4b2b-84e7-8f05d79ea1b5.jpeg,dccd407edd2e4755a5c13fbab5c7e52b
